,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,season_count
1270,s1271,TV Show,Sin senos sí hay paraíso,,"Catherine Siachoque, Fabián Ríos, Carolina Gaitán, Juan Pablo Urrego, Majida Issa, Johanna Fadul, César Mora, Juan Pablo Llano, Carmen Villalobos, Francisco Bolívar, Jennifer Arenas, Luigi Aycardi, Julián Beltrán, Stefanía Gómez, Diana Acevedo, Joselyn Gallardo, Jairo Ordóñez, Oscar Salazar, Gregorio Pernía, Carolina Sepúlveda, Javier Jattin, Juan Alfonso Baptista","United States, Colombia",2021-02-25,2018,TV-MA,0,"International TV Shows, Spanish-Language TV Shows, TV Dramas","Born into a small town controlled by the mafia, an irate young woman seeks revenge on the forces that tore apart and wrongfully imprisoned her family.",2021,2.0,3
1271,s1272,TV Show,The Last Bastion,,"Giovanni Arce, Mayella Lloclla, Rodrigo Palacios, Priscila Espinoza, Mayra Nájar, Sergio Galliani, Laly Goyzueta, Diego Lombardi",,2021-02-25,2018,TV-MA,0,"International TV Shows, Spanish-Language TV Shows, TV Dramas","The Robles family, born and raised in the Americas, experiences the highs and lows of the revolutionary drive to Peru's independence.",2021,2.0,1
1272,s1273,TV Show,Age of Samurai: Battle for Japan,,"Masayoshi Haneda, Masami Kosaka, Hideaki Ito, Hayate, Wilfred Lee, Philippe Koo",United States,2021-02-24,2021,TV-MA,0,"Docuseries, International TV Shows",Dynamic reenactments and expert commentaries bring to life the tumultuous history and power struggles of a warring 16th-century feudal Japan.,2021,2.0,1
1274,s1275,TV Show,Canine Intervention,,Jas Leverette,United States,2021-02-24,2021,TV-PG,0,Reality TV,"No dog, no breed, no behavior is unfixable for Cali K9's Jas Leverette. Follow the Oakland dog trainer as he works with a range of canines and owners.",2021,2.0,1
1275,s1276,TV Show,Ginny & Georgia,,"Brianne Howey, Antonia Gentry, Diesel La Torraca, Jennifer Robertson, Felix Mallard, Sara Waisglass, Scott Porter, Raymond Ablack",United States,2021-02-24,2021,TV-14,0,"Romantic TV Shows, TV Comedies, TV Dramas","Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy.",2021,2.0,1
1277,s1278,TV Show,Two Sentence Horror Stories,,"Nicole Kang, Jim Parrack, Tara Pacheco, Christopher Shyer, Kimberley Wong, Wai Ching Ho, Greta Quispe, Zaria Degenhardt, Uly Schlesinger, Kate Jennings Grant, Aleyse Shannon, Guillermo Arribas, Jaiden Smith, Pepper Binkley, Mikelle Wright-Matos, Melinda Mo",United States,2021-02-24,2021,TV-14,0,"TV Horror, Teen TV Shows",This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.,2021,2.0,2
1282,s1283,TV Show,Zindagi in Short,,,India,2021-02-22,2020,TV-MA,0,"International TV Shows, TV Dramas","Complicated marriages, digital romances, domestic dilemmas and schoolyard bullies get the spotlight in these seven, slice-of-life short films.",2021,2.0,1
1285,s1286,TV Show,Vincenzo,,"Song Joong-ki, Jeon Yeo-been, Ok Taec-yeon, Yoo Jae-myung, Kim Yeo-jin, Kwak Dong-yeon, Cho Han-cheul",South Korea,2021-02-21,2021,TV-14,0,"International TV Shows, TV Comedies, TV Dramas","During a visit to his motherland, a Korean-Italian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.",2021,2.0,1
1293,s1294,TV Show,Pitta Kathalu,"Tharun Bhascker Dhaassyam, B. V. Nandini Reddy, Nag Ashwin, Sankalp Reddy","Manchu Lakshmi, Saanve Megghana, Naveen Kumar, Jagapathi Babu, Amala Paul, Aswin Kakamanu, Shruthi Haasan, Sanjith Hegde, Sangeeth Shoban, Anish Kuruvilla, Uko, Dayanand Reddy, Thanmayi, Satya Dev, Eesha Rebba, Srinivas Avasarala, Ashima Narwal",India,2021-02-19,2021,TV-MA,0,"International TV Shows, TV Dramas","From secrets and lies to jealousy and control, four stories in this anthology film explore the darker, deceptive sides of love.",2021,2.0,1
1294,s1295,TV Show,Tribes of Europa,,"Henriette Confurius, Emilio Sakraya, David Ali Rashed, Oliver Masucci, Melika Foroutan, Ana Ularu, Robert Finster",Germany,2021-02-19,2021,TV-MA,0,"International TV Shows, TV Action & Adventure, TV Dramas","In post-apocalyptic Europe, amid wars among microstates, three siblings fight for survival as a greater threat looms over the continent.",2021,2.0,1
1296,s1297,TV Show,"Hello, Me!",,"Choi Kang-hee, Kim Young-kwang, Lee Re, Um Mun-suk, Kim You-mi, Ji Seung-hyun, Yoon Joo-sang, Baek Hyun-joo, Kim Yong-rim, Kim Byung-choon, Yun Bok-in, Jung Yi-rang, Moon Seong-hyun, Kim Mi-hwa, Kim Do-yeon, Choi Dae-chul, Kang Tae-ju, Park Chul-min, Jung Dae-ro, Shin Mun-seong, Kim Ki-ri, Koh Woo-ri, Choi Tae-hwan",South Korea,2021-02-18,2021,TV-14,0,"International TV Shows, Romantic TV Shows, TV Comedies","Miserable and unsuccessful, a woman thinks she's lost all her spark — until one day, her spunky younger self appears in front of her demanding change.",2021,2.0,1
1298,s1299,TV Show,Sisyphus,,"Cho Seung-woo, Park Shin-hye, Sung Dong-il, Tae In-ho, Chae Jong-hyeop, Jeong He-in, Kim Jong-tae, Choi Jung-woo, Go Yoon, Heo Joon-seok, Jeon Kook-hwan, Tae Won-seok",South Korea,2021-02-18,2021,TV-14,0,"International TV Shows, TV Action & Adventure, TV Dramas",An unfathomable incident introduces a genius engineer to dangerous secrets of the world — and to a woman from the future who's come looking for him.,2021,2.0,1
1299,s1300,TV Show,Thus Spoke Kishibe Rohan,,"Takahiro Sakurai, Hiroki Takahashi, Koki Uchiyama, Mai Nakahara, Kaori Mizuhashi, Yuki Kaji, Wataru Takagi, Atsumi Tanezaki, Junji Majima, Takamasa Mogi, Satoshi Tsuruoka, Showtaro Morikubo, Yasuyuki Kase, Shinnosuke Ogami, Takeaki Masuyama, Yuuki Takada",,2021-02-18,2021,TV-MA,0,"Anime Series, International TV Shows","A popular manga creator becomes enmeshed in paranormal events while conducting research: Stand User Kishibe Rohan visits Italy, goes bankrupt and more.",2021,2.0,1
1300,s1301,TV Show,Amend: The Fight for America,,"Will Smith, Mahershala Ali, Laverne Cox, Utkarsh Ambudkar, Bambadjan Bamba, Sterling K. Brown, Bobby Cannavale, Rafael Casal, Whitney Cummings, Daveed Diggs, Hannah Gadsby, Joseph Gordon-Levitt, Graham Greene, Diane Guerrero, Helen Hunt, Joshua Jackson, Samuel L. Jackson, Aja Naomi King, Diane Lane, Ki Hong Lee, Gabriel Luna, Marsai Martin, Dermot Mulroney, Tig Notaro, Jae Suh Park, Randall Park, Pedro Pascal, Yara Shahidi, Alia Shawkat, Algee Smith, Willow Smith, Courtney B. Vance, Lena Waithe, Samira Wiley, Larry Wilmore",United States,2021-02-17,2021,TV-MA,0,Docuseries,"Will Smith hosts this look at the evolving, often lethal, fight for equal rights in America through the lens of the US Constitution's 14th Amendment.",2021,2.0,1
1301,s1302,TV Show,Behind Her Eyes,,"Simona Brown, Eve Hewson, Tom Bateman, Robert Aramayo, Tyler Howitt, Georgie Glen",United Kingdom,2021-02-17,2021,TV-MA,0,"British TV Shows, International TV Shows, TV Dramas",A single mother enters a world of twisted mind games when she begins an affair with her psychiatrist boss while secretly befriending his mysterious wife.,2021,2.0,1
1302,s1303,TV Show,MeatEater,,Steven Rinella,United States,2021-02-17,2021,TV-14,0,"Docuseries, Reality TV, Science & Nature TV",Steven Rinella scrounges in some of America's wildest terrains in this unscripted series showing him on the hunt for wild animals from ducks to deer.,2021,2.0,4
1306,s1307,TV Show,Good Girls,,"Christina Hendricks, Retta, Mae Whitman, Matthew Lillard, Reno Wilson, Manny Montana, Lidya Jewett, Izzy Stannard, David Hornsby, Zach Gilford",United States,2021-02-16,2020,TV-MA,0,"Crime TV Shows, TV Comedies, TV Dramas",Three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence – together.,2021,2.0,3
1308,s1309,TV Show,Booba,,Roman Karev,United Kingdom,2021-02-15,2021,TV-Y7,0,"Kids' TV, TV Comedies","The world is a mystery to little Booba. But he approaches the curiosities around him with wonder, finding adventure in his everyday surroundings.",2021,2.0,4
1310,s1311,TV Show,The Crew,,"Kevin James, Sarah Stiles, Jillian Mueller, Freddie Stroma, Gary Anthony Williams, Dan Ahdoot",United States,2021-02-15,2021,TV-14,0,TV Comedies,Life in the garage swerves off track for a NASCAR crew chief and his tight-knit racing team when a new boss steps in and shakes things up.,2021,2.0,1
1313,s1314,TV Show,Buried by the Bernards,,,United States,2021-02-12,2021,TV-14,0,Reality TV,"In this reality series, the bickering but big-hearted Bernards manage their budget-friendly funeral home while helping grieving families say farewell.",2021,2.0,1
1314,s1315,TV Show,Chappelle's Show,,Dave Chappelle,United States,2021-02-12,2005,TV-MA,0,TV Comedies,"The brilliant Dave Chappelle performs blistering stand-up, impressions and sketches that skewer topics like racism, politics, celebrities and sex.",2021,2.0,2
1317,s1318,TV Show,Nadiya Bakes,,Nadiya Hussain,United Kingdom,2021-02-12,2021,TV-G,0,"British TV Shows, International TV Shows, Reality TV","Delightful cakes and heavenly breads pop from the oven as Nadiya Hussain returns to baking, her happy place, and spotlights creative kindred spirits.",2021,2.0,1
1320,s1321,TV Show,Capitani,,"Luc Schiltz, Sophie Mousel, Claude De Demo, Joe Dennenwald, Konstantin Rommelfangen, Jules Werner, Jil Devresse, Julie Kieffer",Luxembourg,2021-02-11,2019,TV-MA,0,"Crime TV Shows, International TV Shows, TV Dramas","In a Luxembourg village where everyone is keeping secrets, gruff police inspector Luc Capitani investigates the suspicious death of a 15-year-old girl.",2021,2.0,1
1321,s1322,TV Show,El Chema,,"Mauricio Ochmann, Mariana Seoane, Julio Bracho, Sergio Basañez, Itatí Cantoral, Jorge Luis Vázquez",Mexico,2021-02-11,2016,TV-MA,0,"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Follow one man's epic journey as he transforms from wily underage drug smuggler to one of the world's most infamous cartel leaders.,2021,2.0,1
1328,s1329,TV Show,Crime Scene: The Vanishing at the Cecil Hotel,Joe Berlinger,,United States,2021-02-10,2021,TV-MA,0,"Crime TV Shows, Docuseries","The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. From the creator of ""The Ted Bundy Tapes,"" a dive into crime's darkest places.",2021,2.0,1
1331,s1332,TV Show,Five Came Back: The Reference Films,,,United States,2021-02-09,1945,TV-MA,0,TV Shows,"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back.""",2021,2.0,1
1332,s1333,TV Show,ICarly,,"Miranda Cosgrove, Nathan Kress, Jerry Trainor, Jennette McCurdy, Noah Munck, Mary Scheer",United States,2021-02-08,2008,TV-G,0,"Kids' TV, TV Comedies",A cyberstar is born when 13-year-old Carly creates an Internet series with a little help from her best friend Sam and neighbor Freddie.,2021,2.0,2
1335,s1336,TV Show,The Sinner,,"Jessica Biel, Bill Pullman, Christopher Abbott, Abby Miller, Dohn Norwood",United States,2021-02-06,2020,TV-MA,0,"Crime TV Shows, TV Dramas, TV Mysteries","When a young mother inexplicably stabs a stranger to death, a sympathetic detective struggles to unlock the mystery buried in her missing memories.",2021,2.0,3
1338,s1339,TV Show,Hache,,"Adriana Ugarte, Javier Rey, Eduardo Noriega, Marc Martínez, Ingrid Rubio, Pep Ambròs, Núria Prims, Roger Casamajor",Spain,2021-02-05,2021,TV-MA,0,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","As Helena gains the love and trust of a dangerous heroin cartel leader in 1960s Barcelona, she hones the skills she needs to rise up the ranks.",2021,2.0,2
1339,s1340,TV Show,Invisible City,,"Marco Pigossi, Alessandra Negrini, Fábio Lago, Jéssica Córes, Jimmy London, Wesley Guimarães, Áurea Maranhão, Julia Konrad, Thaia Perez, Manu Dieguez, José Dumont, Tainá Medina, Rafael Sieg, Samuel de Assis, Victor Sparapane",Brazil,2021-02-05,2021,TV-MA,0,"Crime TV Shows, International TV Shows, TV Dramas","After a family tragedy, a man discovers mythical creatures living among humans — and soon realizes they hold the key to his mysterious past.",2021,2.0,1
1348,s1349,TV Show,Firefly Lane,,"Katherine Heigl, Sarah Chalke, Ben Lawson, Beau Garrett, Ali Skovbye, Roan Curtis, Yael Yurman, Jon-Michael Ecker, Brandon Jay McLaren, Paul McGillion, Chelah Horsdal, Brendan Taylor",United States,2021-02-03,2021,TV-MA,0,"Romantic TV Shows, TV Dramas",Best friends Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their 40s.,2021,2.0,1
1349,s1350,TV Show,"Pablo Escobar, el patrón del mal",,"Andrés Parra, Angie Cepeda, Cecilia Navia, Vicky Hernández, Christian Tappan, Rodolfo Silva, Tommy Vásquez, Toto Vega, Nicolás Montero, Marcela Gallego",Colombia,2021-02-03,2012,TV-MA,0,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","From his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous Pablo Escobar.",2021,2.0,1
1350,s1351,TV Show,Power Rangers Ninja Steel,,"William Shewfelt, Nico Greetham, Zoe Robins, Peter Sudarso, Chrysti Ane, Jordi Webber, Caleb Bendit, Chris Reid, Kelson Henderson",United States,2021-02-03,2018,TV-Y7,0,Kids' TV,A new generation of teen heroes uses superhuman ninja powers to battle the intergalactic villain Galvanax and save Earth from destruction.,2021,2.0,2
1352,s1353,TV Show,Tiffany Haddish Presents: They Ready,,"Tracey Ashley, Flame Monroe, Aida Rodriguez, Marlo Williams, April Macie, Chaunté Wayans, Tiffany Haddish",United States,2021-02-02,2021,TV-MA,0,"Stand-Up Comedy & Talk Shows, TV Comedies","Hand-picked by Tiffany Haddish, six diverse comedians showcase their raw humor in a series of specials oozing with energy.",2021,2.0,2
1354,s1355,TV Show,Heartland,,"Amber Marshall, Michelle Morgan, Graham Wardle, Shaun Johnston, Chris Potter, Jessica Amlee, Kerry James, Nathaniel Arcand",Canada,2021-02-01,2019,TV-14,0,TV Dramas,Spunky teenager Amy is reeling from the sudden death of her mother when she and her grandfather are threatened with the loss of their horse ranch.,2021,2.0,13
1355,s1356,TV Show,Love Daily,,"Kamil McFadden, Alexandra Peters, Laura Marano, Paul Karmiryan, Brianne Tju, Alexis G. Zall, Leo Howard, Stephanie Nogueras",United States,2021-02-01,2018,TV-14,0,"Romantic TV Shows, Teen TV Shows","This anthology follows 12 different love stories involving fateful encounters, magical moments and unexpected romances over the course of a year.",2021,2.0,1
1356,s1357,TV Show,My Dead Ex,,"Katherine Hughes, Ryan Lee, Ryan Malaty, Medalion Rahimi, Marc Evan Jackson, Beth Littleford, Audrey Wasilewski, Matt Braunger",United States,2021-02-01,2018,TV-14,0,"TV Comedies, Teen TV Shows",High school teens Charley and Ben find themselves in a complicated romance when Ben dies in a tragic accident but is resurrected by a magical spell.,2021,2.0,1
1360,s1361,TV Show,The House Arrest of Us,Richard Arellano,"Daniel Padilla, Kathryn Bernardo, Herbert Bautista, Ruffa Gutierrez, Gardo Versoza, Arlene Muhlach, Arlene Muchlach, Dennis Padilla, Riva Quenery, Anthony Jennings, Alora Sasam, Huybs Azarcon",Philippines,2021-02-01,2020,TV-MA,0,"International TV Shows, Romantic TV Shows, TV Comedies",A couple decides to make their engagement official by honoring tradition when a pandemic forces them and their families to quarantine under one roof.,2021,2.0,1
1361,s1362,TV Show,The Unsettling,,"Holly Taylor, Tequan Richmond, Willow Shields, An-Li Bogan, Noah Grismer, Alex Lange, David Clayton Rogers, Marguerite Moreau",United States,2021-02-01,2019,TV-14,0,"TV Horror, Teen TV Shows","As 16-year-old Becca adjusts to her new foster home, she starts to question her reality as strange things begin to happen all around her.",2021,2.0,1
1362,s1363,TV Show,Total Drama,,"Clé Bennett, Christian Potenza, Scott McCord, Rachel Wilson, Drew Nelson, Stephanie Anne Mills, Novie Edwards, Megan Fahlenbock, Brian Foud, Emilie-Claire Barlow, Phillip David Lewis, Katie Crown, Sarah Gadon, Peter Oldring, Kristin Fairlie, Dan Petronijevic, Adam Greydon Reid","Canada, United States, France",2021-02-01,2015,TV-PG,0,"Kids' TV, TV Comedies","Heartwarming moments are interspersed with backstabbing, scheming, sabotage and broken alliances in this animated spoof of reality show competitions.",2021,2.0,7
1363,s1364,TV Show,Zac and Mia,,"Kian Lawley, Anne Winters, Alexis G. Zall, Tory Devon Smith, James Boyd, Tanner Stine, Markus Silbiger",United States,2021-02-01,2019,TV-14,0,"Romantic TV Shows, TV Dramas, Teen TV Shows",Two teenagers with cancer share a connection with each other despite their differences and extraordinary circumstances. Based on A.J. Betts's novel.,2021,2.0,2
1365,s1366,TV Show,Zig & Sharko,,,France,2021-02-01,2019,TV-Y7,0,"Kids' TV, TV Comedies","Zig, an island-bound hyena, will do anything to get his paws on Marina the mermaid, but her devoted pal Sharko always comes to her rescue in time.",2021,2.0,2
1371,s1372,TV Show,We Are: The Brooklyn Saints,,,United States,2021-01-29,2021,TV-14,0,Docuseries,A Brooklyn youth football program and its selfless coaches provide a safe haven for kids to compete and learn lessons that will take them far in life.,2021,1.0,1
1373,s1374,TV Show,50M2,,"Engin Öztürk, Kürşat Alnıaçık, Cengiz Bozkurt, Aybüke Pusat, Tolga Tekin, Özgür Emre Yıldırım, Yiğit Kirazcı",Turkey,2021-01-27,2021,TV-MA,0,"International TV Shows, TV Dramas, TV Thrillers","Seeking to uncover the truth about his past, a henchman betrays someone close to him and assumes a new identity in a small Istanbul neighborhood.",2021,1.0,1
1375,s1376,TV Show,BONDING,,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould",United States,2021-01-27,2021,TV-MA,0,"TV Comedies, TV Dramas",A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,2021,1.0,2
1377,s1378,TV Show,Outlander,,"Caitriona Balfe, Sam Heughan, Tobias Menzies, Gary Lewis, Graham McTavish, Lotte Verbeek, Duncan Lacroix, Laura Donnelly, Bill Paterson, Stephen Walters, Grant O'Rourke, Simon Callow, Richard Rankin, Sophie Skelton, David Berry, Romann Berrux, Ed Speleers, Maria Doyle Kennedy, Tim Downie",United States,2021-01-27,2018,TV-MA,0,"Romantic TV Shows, TV Action & Adventure, TV Dramas",This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.,2021,1.0,4
1380,s1381,TV Show,Go Dog Go,,"Michela Luci, Callum Shoniker, Lyon Smith, Tajja Isen, Anand Rajaram, David Berni, Linda Ballantyne, Joshua Graham, Patrick McKenna, Judy Marshak, Martin Roach, Katie Griffin","United States, United Kingdom",2021-01-26,2021,TV-Y,0,Kids' TV,"Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way.",2021,1.0,1
1383,s1384,TV Show,Blown Away,,,Canada,2021-01-22,2021,TV-14,0,"International TV Shows, Reality TV","Ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion.",2021,1.0,2
1384,s1385,TV Show,Busted!,,"Yoo Jae-suk, Ahn Jae-wook, Kim Jong-min, Lee Kwang-soo, Park Min-young, Sehun, Kim Se-jeong",South Korea,2021-01-22,2021,TV-14,0,"Crime TV Shows, International TV Shows, Korean TV Shows","Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D?",2021,1.0,3
1385,s1386,TV Show,Demon Slayer: Kimetsu no Yaiba,,"Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Takahiro Sakurai, Hochu Otsuka, Yuki Kaji, Ai Kakuma, Nobuhiko Okamoto, Toshiyuki Morikawa, Aoi Yuki, Shiori Izawa, Daisuke Namikawa, Takumi Yamazaki, Hikaru Midorikawa, Takehito Koyasu",Japan,2021-01-22,2019,TV-14,0,"Anime Series, International TV Shows","After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost.",2021,1.0,1
1392,s1393,TV Show,Daughter From Another Mother,,"Ludwika Paleta, Paulina Goto, Martín Altomaro, Liz Gallardo, Javier Ponce, Oka Giner, Zaide Silvia Gutiérrez, Dalexa Meneses, Emilio Beltrán Ulrich, Fernando Memije, Elena del Río, Christian Chávez",Mexico,2021-01-20,2021,TV-MA,0,"International TV Shows, Spanish-Language TV Shows, TV Comedies","After realizing their babies were exchanged at birth, two women develop a plan to adjust to their new lives: creating a single —and peculiar— family.",2021,1.0,1
1394,s1395,TV Show,Spycraft,,,United States,2021-01-20,2021,TV-MA,0,"Docuseries, Science & Nature TV","The spy game is a serious business, and throughout history, the tools and technologies developed for it have mattered as much as the spies themselves.",2021,1.0,1
1395,s1396,TV Show,Hello Ninja,,"Lukas Engel, Zoey Siewert, Sam Vincent, Mayumi Yoshida",United States,2021-01-19,2021,TV-Y,0,Kids' TV,"BFFs Wesley and Georgie and their silly cat sidekick Pretzel transform into ninjas and enter a magic world, where they solve problems and save the day.",2021,1.0,4
1400,s1401,TV Show,Bling Empire,,,United States,2021-01-15,2021,TV-MA,0,Reality TV,"Follow LA's wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series.",2021,1.0,1
1401,s1402,TV Show,Carmen Sandiego,,"Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Michael Goldsmith, Kari Wahlgren, Sharon Muthu, Liam O'Brien, Rafael Petardi, Charlet Chung",United States,2021-01-15,2021,TV-Y7,0,"Kids' TV, TV Thrillers","A master thief who uses her skills for good, Carmen Sandiego travels the world foiling V.I.L.E.'s evil plans – with help from her savvy sidekicks.",2021,1.0,4
1402,s1403,TV Show,Disenchantment,,"Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio, Tress MacNeille, Matt Berry, David Herman, Maurice LaMarche, Lucy Montgomery, Billy West",United States,2021-01-15,2021,TV-14,0,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy","Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals.",2021,1.0,3
1404,s1405,TV Show,Henry Danger,,"Jace Norman, Cooper Barnes, Riele Downs, Sean Ryan Fox, Ella Anderson, Michael D. Cohen",United States,2021-01-15,2016,TV-G,0,"Kids' TV, TV Comedies","A new part-time job forces Henry Hart to balance two lives, one as a typical teenager and the other as secret superhero sidekick Kid Danger.",2021,1.0,3
1408,s1409,TV Show,The Magicians,,"Jason Ralph, Arjun Gupta, Hale Appleman, Stella Maeve, Summer Bishil, Olivia Taylor Dudley, Jade Tailor, Rick Worthy, Mackenzie Astin, Kacey Rohl, Charles Mesure, Keegan Connor Tracy, Trevor Einhorn","United States, Canada",2021-01-15,2020,TV-MA,0,"TV Dramas, TV Sci-Fi & Fantasy","When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he once read about is very real.",2021,1.0,5
1416,s1417,TV Show,Night Stalker: The Hunt for a Serial Killer,Tiller Russell,,United States,2021-01-13,2021,TV-MA,0,"Crime TV Shows, Docuseries","Beneath the sunlit glamour of 1985 LA lurks a relentlessly evil serial killer. In this true-crime story, two detectives won't rest until they catch him.",2021,1.0,1
1419,s1420,TV Show,Last Tango in Halifax,Juliet May,"Derek Jacobi, Anne Reid, Sarah Lancashire, Nicola Walker, Edward Ashley, Louis Greatorex, Josh Bolt",United Kingdom,2021-01-12,2020,TV-MA,0,"British TV Shows, Romantic TV Shows, TV Dramas",Two widowed childhood sweethearts fall for each other all over again when they are reunited over the Internet after nearly 60 years.,2021,1.0,4
1427,s1428,TV Show,Inside the World’s Toughest Prisons,,Paul Connolly,United Kingdom,2021-01-08,2021,TV-MA,0,"British TV Shows, Crime TV Shows, Docuseries","Investigative journalist Paul Connolly becomes a voluntary inmate in the world's most volatile prisons, where intimidation and brutality rule.",2021,1.0,5
1429,s1430,TV Show,Mighty Little Bheem: Kite Festival,,"Sumruddhi Shukla, Aranya Kaur, Nishka Raheja",India,2021-01-08,2021,TV-Y,0,"Kids' TV, TV Comedies","With winter behind them, Bheem and his townspeople usher in a sunny new season in all their favorite ways during the Makar Sankranti festival.",2021,1.0,1
1430,s1431,TV Show,Pretend It’s a City,,Fran Lebowitz,United States,2021-01-08,2021,TV-14,0,Docuseries,"Wander the New York City streets and fascinating mind of wry writer, humorist and raconteur Fran Lebowitz as she sits down with Martin Scorsese.",2021,1.0,1
1432,s1433,TV Show,The Idhun Chronicles,Maite Ruiz De Austri,"Michelle Jenner, Itzan Escamilla, Sergio Mur, Nico Romero, Carlos Cuevas",Spain,2021-01-08,2021,TV-14,0,"Anime Series, International TV Shows, Spanish-Language TV Shows","A boy suddenly orphaned fights his parents' killer to save a planet, and discovers a new world of danger — and wonder.",2021,1.0,2
1437,s1438,TV Show,Surviving Death,,,United States,2021-01-06,2021,TV-MA,0,"Docuseries, Reality TV","What happens after we die? This docuseries explores personal stories and research on near-death experiences, reincarnation and paranormal phenomena.",2021,1.0,1
1439,s1440,TV Show,History of Swear Words,,Nicolas Cage,United States,2021-01-05,2021,TV-MA,0,"Docuseries, TV Comedies","Nicolas Cage hosts this proudly profane, funny and engagingly educational series about the history and impact of the most notorious English swear words.",2021,1.0,1
1440,s1441,TV Show,Nailed It! Mexico,,"Omar Chaparro, Anna Ruiz","Mexico, United States",2021-01-05,2021,TV-PG,0,"International TV Shows, Reality TV, Spanish-Language TV Shows","The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize.",2021,1.0,3
1442,s1443,TV Show,Korean Pork Belly Rhapsody,,Paik Jong-won,,2021-01-04,2020,TV-G,0,"Docuseries, International TV Shows",A love letter to pork belly — a perennial favorite among Koreans of every generation — unfolds with an exploration of its history and cooking methods.,2021,1.0,1
1443,s1444,TV Show,QB1: Beyond the Lights,,,United States,2021-01-04,2019,TV-14,0,Docuseries,This riveting series follows three star high school quarterbacks as they play their final season before moving on to Division I college football.,2021,1.0,1
1448,s1449,TV Show,Cobra Kai,,"Ralph Macchio, William Zabka, Xolo Maridueña, Martin Kove, Mary Mouser, Tanner Buchanan, Courtney Henggeler, Jacob Bertrand",United States,2021-01-01,2021,TV-14,0,"TV Action & Adventure, TV Comedies, TV Dramas","Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films.",2021,1.0,3
1449,s1450,TV Show,Dream Home Makeover,,,United States,2021-01-01,2021,TV-G,0,Reality TV,"Dreams come true for real families looking for the perfect home tailored to their own unique style, thanks to Shea and Syd McGee of Studio McGee.",2021,1.0,2
1455,s1456,TV Show,Headspace Guide to Meditation,,Andy Puddicombe,United States,2021-01-01,2021,TV-G,0,"Docuseries, Science & Nature TV","Headspace takes a friendly, animated look at the benefits of meditation while offering techniques and guided meditations to jump-start your practice.",2021,1.0,1
1457,s1458,TV Show,Jenni Rivera: Mariposa de Barrio,,"Angélica Celaya, Gabriel Porras, Rosalinda Rodríguez, Samadhi Zendejas, Tony Garza, Regina Orquín, Enrique Montaño, Adrián Carvajal, Emmanuel Morales, Adriano Zendejas, Xavier Ruvalcaba, Raúl Sandoval, Mauricio Novoa, Uriel del Toro, Ana Wolfermann, Stephanie Arcila, Vanessa Pose, Alma Matrecito",United States,2021-01-01,2017,TV-MA,0,"Spanish-Language TV Shows, TV Dramas",This drama follows Mexican-American singer Jenni Rivera's unlikely rise from suicidal pregnant teen and abused wife to banda superstar.,2021,1.0,1
